Age,Year,W,Rate
age04,1993,12000,0.12
age04,1994,12000,0.12
age04,1995,12000,0.12
age04,1996,12000,0.12
age04,1997,12000,0.12
age04,1998,12000,0.12
age04,1999,12000,0.12
age04,2000,12000,0.12
age04,2001,12000,0.12
age04,2002,12000,0.12
age04,2003,12000,0.12
age04,2004,12000,0.12
age04,2005,12000,0.12
age04,2006,12000,0.12
age04,2007,12000,0.12
age04,2008,12000,0.12
age04,2009,12000,0.12
age04,2010,12000,0.12
age04,2011,12000,0.12
age04,2012,12000,0.12
age04,2013,12000,0.12
age04,2014,12000,0.12
age04,2015,12000,0.12
age04,2016,12000,0.12
age04,2017,12000,0.12
age04,2018,12000,0.12
age59,1993,10000,0.1
age59,1994,10000,0.1
age59,1995,10000,0.1
age59,1996,10000,0.1
age59,1997,10000,0.1
age59,1998,10000,0.1
age59,1999,10000,0.1
age59,2000,10000,0.1
age59,2001,10000,0.1
age59,2002,10000,0.1
age59,2003,10000,0.1
age59,2004,10000,0.1
age59,2005,10000,0.1
age59,2006,10000,0.1
age59,2007,10000,0.1
age59,2008,10000,0.1
age59,2009,10000,0.1
age59,2010,10000,0.1
age59,2011,10000,0.1
age59,2012,10000,0.1
age59,2013,10000,0.1
age59,2014,10000,0.1
age59,2015,10000,0.1
age59,2016,10000,0.1
age59,2017,10000,0.1
age59,2018,10000,0.1
age1014,1993,9000,0.09
age1014,1994,9000,0.09
age1014,1995,9000,0.09
age1014,1996,9000,0.09
age1014,1997,9000,0.09
age1014,1998,9000,0.09
age1014,1999,9000,0.09
age1014,2000,9000,0.09
age1014,2001,9000,0.09
age1014,2002,9000,0.09
age1014,2003,9000,0.09
age1014,2004,9000,0.09
age1014,2005,9000,0.09
age1014,2006,9000,0.09
age1014,2007,9000,0.09
age1014,2008,9000,0.09
age1014,2009,9000,0.09
age1014,2010,9000,0.09
age1014,2011,9000,0.09
age1014,2012,9000,0.09
age1014,2013,9000,0.09
age1014,2014,9000,0.09
age1014,2015,9000,0.09
age1014,2016,9000,0.09
age1014,2017,9000,0.09
age1014,2018,9000,0.09
age1519,1993,9000,0.09
age1519,1994,9000,0.09
age1519,1995,9000,0.09
age1519,1996,9000,0.09
age1519,1997,9000,0.09
age1519,1998,9000,0.09
age1519,1999,9000,0.09
age1519,2000,9000,0.09
age1519,2001,9000,0.09
age1519,2002,9000,0.09
age1519,2003,9000,0.09
age1519,2004,9000,0.09
age1519,2005,9000,0.09
age1519,2006,9000,0.09
age1519,2007,9000,0.09
age1519,2008,9000,0.09
age1519,2009,9000,0.09
age1519,2010,9000,0.09
age1519,2011,9000,0.09
age1519,2012,9000,0.09
age1519,2013,9000,0.09
age1519,2014,9000,0.09
age1519,2015,9000,0.09
age1519,2016,9000,0.09
age1519,2017,9000,0.09
age1519,2018,9000,0.09
age2024,1993,8000,0.08
age2024,1994,8000,0.08
age2024,1995,8000,0.08
age2024,1996,8000,0.08
age2024,1997,8000,0.08
age2024,1998,8000,0.08
age2024,1999,8000,0.08
age2024,2000,8000,0.08
age2024,2001,8000,0.08
age2024,2002,8000,0.08
age2024,2003,8000,0.08
age2024,2004,8000,0.08
age2024,2005,8000,0.08
age2024,2006,8000,0.08
age2024,2007,8000,0.08
age2024,2008,8000,0.08
age2024,2009,8000,0.08
age2024,2010,8000,0.08
age2024,2011,8000,0.08
age2024,2012,8000,0.08
age2024,2013,8000,0.08
age2024,2014,8000,0.08
age2024,2015,8000,0.08
age2024,2016,8000,0.08
age2024,2017,8000,0.08
age2024,2018,8000,0.08
age2529,1993,8000,0.08
age2529,1994,8000,0.08
age2529,1995,8000,0.08
age2529,1996,8000,0.08
age2529,1997,8000,0.08
age2529,1998,8000,0.08
age2529,1999,8000,0.08
age2529,2000,8000,0.08
age2529,2001,8000,0.08
age2529,2002,8000,0.08
age2529,2003,8000,0.08
age2529,2004,8000,0.08
age2529,2005,8000,0.08
age2529,2006,8000,0.08
age2529,2007,8000,0.08
age2529,2008,8000,0.08
age2529,2009,8000,0.08
age2529,2010,8000,0.08
age2529,2011,8000,0.08
age2529,2012,8000,0.08
age2529,2013,8000,0.08
age2529,2014,8000,0.08
age2529,2015,8000,0.08
age2529,2016,8000,0.08
age2529,2017,8000,0.08
age2529,2018,8000,0.08
age3034,1993,6000,0.06
age3034,1994,6000,0.06
age3034,1995,6000,0.06
age3034,1996,6000,0.06
age3034,1997,6000,0.06
age3034,1998,6000,0.06
age3034,1999,6000,0.06
age3034,2000,6000,0.06
age3034,2001,6000,0.06
age3034,2002,6000,0.06
age3034,2003,6000,0.06
age3034,2004,6000,0.06
age3034,2005,6000,0.06
age3034,2006,6000,0.06
age3034,2007,6000,0.06
age3034,2008,6000,0.06
age3034,2009,6000,0.06
age3034,2010,6000,0.06
age3034,2011,6000,0.06
age3034,2012,6000,0.06
age3034,2013,6000,0.06
age3034,2014,6000,0.06
age3034,2015,6000,0.06
age3034,2016,6000,0.06
age3034,2017,6000,0.06
age3034,2018,6000,0.06
age3539,1993,6000,0.06
age3539,1994,6000,0.06
age3539,1995,6000,0.06
age3539,1996,6000,0.06
age3539,1997,6000,0.06
age3539,1998,6000,0.06
age3539,1999,6000,0.06
age3539,2000,6000,0.06
age3539,2001,6000,0.06
age3539,2002,6000,0.06
age3539,2003,6000,0.06
age3539,2004,6000,0.06
age3539,2005,6000,0.06
age3539,2006,6000,0.06
age3539,2007,6000,0.06
age3539,2008,6000,0.06
age3539,2009,6000,0.06
age3539,2010,6000,0.06
age3539,2011,6000,0.06
age3539,2012,6000,0.06
age3539,2013,6000,0.06
age3539,2014,6000,0.06
age3539,2015,6000,0.06
age3539,2016,6000,0.06
age3539,2017,6000,0.06
age3539,2018,6000,0.06
age4044,1993,6000,0.06
age4044,1994,6000,0.06
age4044,1995,6000,0.06
age4044,1996,6000,0.06
age4044,1997,6000,0.06
age4044,1998,6000,0.06
age4044,1999,6000,0.06
age4044,2000,6000,0.06
age4044,2001,6000,0.06
age4044,2002,6000,0.06
age4044,2003,6000,0.06
age4044,2004,6000,0.06
age4044,2005,6000,0.06
age4044,2006,6000,0.06
age4044,2007,6000,0.06
age4044,2008,6000,0.06
age4044,2009,6000,0.06
age4044,2010,6000,0.06
age4044,2011,6000,0.06
age4044,2012,6000,0.06
age4044,2013,6000,0.06
age4044,2014,6000,0.06
age4044,2015,6000,0.06
age4044,2016,6000,0.06
age4044,2017,6000,0.06
age4044,2018,6000,0.06
age4549,1993,6000,0.06
age4549,1994,6000,0.06
age4549,1995,6000,0.06
age4549,1996,6000,0.06
age4549,1997,6000,0.06
age4549,1998,6000,0.06
age4549,1999,6000,0.06
age4549,2000,6000,0.06
age4549,2001,6000,0.06
age4549,2002,6000,0.06
age4549,2003,6000,0.06
age4549,2004,6000,0.06
age4549,2005,6000,0.06
age4549,2006,6000,0.06
age4549,2007,6000,0.06
age4549,2008,6000,0.06
age4549,2009,6000,0.06
age4549,2010,6000,0.06
age4549,2011,6000,0.06
age4549,2012,6000,0.06
age4549,2013,6000,0.06
age4549,2014,6000,0.06
age4549,2015,6000,0.06
age4549,2016,6000,0.06
age4549,2017,6000,0.06
age4549,2018,6000,0.06
age5054,1993,5000,0.05
age5054,1994,5000,0.05
age5054,1995,5000,0.05
age5054,1996,5000,0.05
age5054,1997,5000,0.05
age5054,1998,5000,0.05
age5054,1999,5000,0.05
age5054,2000,5000,0.05
age5054,2001,5000,0.05
age5054,2002,5000,0.05
age5054,2003,5000,0.05
age5054,2004,5000,0.05
age5054,2005,5000,0.05
age5054,2006,5000,0.05
age5054,2007,5000,0.05
age5054,2008,5000,0.05
age5054,2009,5000,0.05
age5054,2010,5000,0.05
age5054,2011,5000,0.05
age5054,2012,5000,0.05
age5054,2013,5000,0.05
age5054,2014,5000,0.05
age5054,2015,5000,0.05
age5054,2016,5000,0.05
age5054,2017,5000,0.05
age5054,2018,5000,0.05
age5559,1993,4000,0.04
age5559,1994,4000,0.04
age5559,1995,4000,0.04
age5559,1996,4000,0.04
age5559,1997,4000,0.04
age5559,1998,4000,0.04
age5559,1999,4000,0.04
age5559,2000,4000,0.04
age5559,2001,4000,0.04
age5559,2002,4000,0.04
age5559,2003,4000,0.04
age5559,2004,4000,0.04
age5559,2005,4000,0.04
age5559,2006,4000,0.04
age5559,2007,4000,0.04
age5559,2008,4000,0.04
age5559,2009,4000,0.04
age5559,2010,4000,0.04
age5559,2011,4000,0.04
age5559,2012,4000,0.04
age5559,2013,4000,0.04
age5559,2014,4000,0.04
age5559,2015,4000,0.04
age5559,2016,4000,0.04
age5559,2017,4000,0.04
age5559,2018,4000,0.04
age6064,1993,4000,0.04
age6064,1994,4000,0.04
age6064,1995,4000,0.04
age6064,1996,4000,0.04
age6064,1997,4000,0.04
age6064,1998,4000,0.04
age6064,1999,4000,0.04
age6064,2000,4000,0.04
age6064,2001,4000,0.04
age6064,2002,4000,0.04
age6064,2003,4000,0.04
age6064,2004,4000,0.04
age6064,2005,4000,0.04
age6064,2006,4000,0.04
age6064,2007,4000,0.04
age6064,2008,4000,0.04
age6064,2009,4000,0.04
age6064,2010,4000,0.04
age6064,2011,4000,0.04
age6064,2012,4000,0.04
age6064,2013,4000,0.04
age6064,2014,4000,0.04
age6064,2015,4000,0.04
age6064,2016,4000,0.04
age6064,2017,4000,0.04
age6064,2018,4000,0.04
age6569,1993,3000,0.03
age6569,1994,3000,0.03
age6569,1995,3000,0.03
age6569,1996,3000,0.03
age6569,1997,3000,0.03
age6569,1998,3000,0.03
age6569,1999,3000,0.03
age6569,2000,3000,0.03
age6569,2001,3000,0.03
age6569,2002,3000,0.03
age6569,2003,3000,0.03
age6569,2004,3000,0.03
age6569,2005,3000,0.03
age6569,2006,3000,0.03
age6569,2007,3000,0.03
age6569,2008,3000,0.03
age6569,2009,3000,0.03
age6569,2010,3000,0.03
age6569,2011,3000,0.03
age6569,2012,3000,0.03
age6569,2013,3000,0.03
age7074,1993,2000,0.02
age7074,1994,2000,0.02
age7074,1995,2000,0.02
age7074,1996,2000,0.02
age7074,1997,2000,0.02
age7074,1998,2000,0.02
age7074,1999,2000,0.02
age7074,2000,2000,0.02
age7074,2001,2000,0.02
age7074,2002,2000,0.02
age7074,2003,2000,0.02
age7074,2004,2000,0.02
age7074,2005,2000,0.02
age7074,2006,2000,0.02
age7074,2007,2000,0.02
age7074,2008,2000,0.02
age7074,2009,2000,0.02
age7074,2010,2000,0.02
age7074,2011,2000,0.02
age7074,2012,2000,0.02
age7074,2013,2000,0.02
age7579,1993,1000,0.01
age7579,1994,1000,0.01
age7579,1995,1000,0.01
age7579,1996,1000,0.01
age7579,1997,1000,0.01
age7579,1998,1000,0.01
age7579,1999,1000,0.01
age7579,2000,1000,0.01
age7579,2001,1000,0.01
age7579,2002,1000,0.01
age7579,2003,1000,0.01
age7579,2004,1000,0.01
age7579,2005,1000,0.01
age7579,2006,1000,0.01
age7579,2007,1000,0.01
age7579,2008,1000,0.01
age7579,2009,1000,0.01
age7579,2010,1000,0.01
age7579,2011,1000,0.01
age7579,2012,1000,0.01
age7579,2013,1000,0.01
age8084,1993,500,0.005
age8084,1994,500,0.005
age8084,1995,500,0.005
age8084,1996,500,0.005
age8084,1997,500,0.005
age8084,1998,500,0.005
age8084,1999,500,0.005
age8084,2000,500,0.005
age8084,2001,500,0.005
age8084,2002,500,0.005
age8084,2003,500,0.005
age8084,2004,500,0.005
age8084,2005,500,0.005
age8084,2006,500,0.005
age8084,2007,500,0.005
age8084,2008,500,0.005
age8084,2009,500,0.005
age8084,2010,500,0.005
age8084,2011,500,0.005
age8084,2012,500,0.005
age8084,2013,500,0.005
age85,1993,500,0.005
age85,1994,500,0.005
age85,1995,500,0.005
age85,1996,500,0.005
age85,1997,500,0.005
age85,1998,500,0.005
age85,1999,500,0.005
age85,2000,500,0.005
age85,2001,500,0.005
age85,2002,500,0.005
age85,2003,500,0.005
age85,2004,500,0.005
age85,2005,500,0.005
age85,2006,500,0.005
age85,2007,500,0.005
age85,2008,500,0.005
age85,2009,500,0.005
age85,2010,500,0.005
age85,2011,500,0.005
age85,2012,500,0.005
age85,2013,500,0.005
age04,1993,12000,0.12
age04,1994,12000,0.12
age04,1995,12000,0.12
age04,1996,12000,0.12
age04,1997,12000,0.12
age04,1998,12000,0.12
age04,1999,12000,0.12
age04,2000,12000,0.12
age04,2001,12000,0.12
age04,2002,12000,0.12
age04,2003,12000,0.12
age04,2004,12000,0.12
age04,2005,12000,0.12
age04,2006,12000,0.12
age04,2007,12000,0.12
age04,2008,12000,0.12
age04,2009,12000,0.12
age04,2010,12000,0.12
age04,2011,12000,0.12
age04,2012,12000,0.12
age04,2013,12000,0.12
age59,1993,10000,0.1
age59,1994,10000,0.1
age59,1995,10000,0.1
age59,1996,10000,0.1
age59,1997,10000,0.1
age59,1998,10000,0.1
age59,1999,10000,0.1
age59,2000,10000,0.1
age59,2001,10000,0.1
age59,2002,10000,0.1
age59,2003,10000,0.1
age59,2004,10000,0.1
age59,2005,10000,0.1
age59,2006,10000,0.1
age59,2007,10000,0.1
age59,2008,10000,0.1
age59,2009,10000,0.1
age59,2010,10000,0.1
age59,2011,10000,0.1
age59,2012,10000,0.1
age59,2013,10000,0.1
age1014,1993,9000,0.09
age1014,1994,9000,0.09
age1014,1995,9000,0.09
age1014,1996,9000,0.09
age1014,1997,9000,0.09
age1014,1998,9000,0.09
age1014,1999,9000,0.09
age1014,2000,9000,0.09
age1014,2001,9000,0.09
age1014,2002,9000,0.09
age1014,2003,9000,0.09
age1014,2004,9000,0.09
age1014,2005,9000,0.09
age1014,2006,9000,0.09
age1014,2007,9000,0.09
age1014,2008,9000,0.09
age1014,2009,9000,0.09
age1014,2010,9000,0.09
age1014,2011,9000,0.09
age1014,2012,9000,0.09
age1014,2013,9000,0.09
age1519,1993,9000,0.09
age1519,1994,9000,0.09
age1519,1995,9000,0.09
age1519,1996,9000,0.09
age1519,1997,9000,0.09
age1519,1998,9000,0.09
age1519,1999,9000,0.09
age1519,2000,9000,0.09
age1519,2001,9000,0.09
age1519,2002,9000,0.09
age1519,2003,9000,0.09
age1519,2004,9000,0.09
age1519,2005,9000,0.09
age1519,2006,9000,0.09
age1519,2007,9000,0.09
age1519,2008,9000,0.09
age1519,2009,9000,0.09
age1519,2010,9000,0.09
age1519,2011,9000,0.09
age1519,2012,9000,0.09
age1519,2013,9000,0.09
age2024,1993,8000,0.08
age2024,1994,8000,0.08
age2024,1995,8000,0.08
age2024,1996,8000,0.08
age2024,1997,8000,0.08
age2024,1998,8000,0.08
age2024,1999,8000,0.08
age2024,2000,8000,0.08
age2024,2001,8000,0.08
age2024,2002,8000,0.08
age2024,2003,8000,0.08
age2024,2004,8000,0.08
age2024,2005,8000,0.08
age2024,2006,8000,0.08
age2024,2007,8000,0.08
age2024,2008,8000,0.08
age2024,2009,8000,0.08
age2024,2010,8000,0.08
age2024,2011,8000,0.08
age2024,2012,8000,0.08
age2024,2013,8000,0.08
age2529,1993,8000,0.08
age2529,1994,8000,0.08
age2529,1995,8000,0.08
age2529,1996,8000,0.08
age2529,1997,8000,0.08
age2529,1998,8000,0.08
age2529,1999,8000,0.08
age2529,2000,8000,0.08
age2529,2001,8000,0.08
age2529,2002,8000,0.08
age2529,2003,8000,0.08
age2529,2004,8000,0.08
age2529,2005,8000,0.08
age2529,2006,8000,0.08
age2529,2007,8000,0.08
age2529,2008,8000,0.08
age2529,2009,8000,0.08
age2529,2010,8000,0.08
age2529,2011,8000,0.08
age2529,2012,8000,0.08
age2529,2013,8000,0.08
age3034,1993,6000,0.06
age3034,1994,6000,0.06
age3034,1995,6000,0.06
age3034,1996,6000,0.06
age3034,1997,6000,0.06
age3034,1998,6000,0.06
age3034,1999,6000,0.06
age3034,2000,6000,0.06
age3034,2001,6000,0.06
age3034,2002,6000,0.06
age3034,2003,6000,0.06
age3034,2004,6000,0.06
age3034,2005,6000,0.06
age3034,2006,6000,0.06
age3034,2007,6000,0.06
age3034,2008,6000,0.06
age3034,2009,6000,0.06
age3034,2010,6000,0.06
age3034,2011,6000,0.06
age3034,2012,6000,0.06
age3034,2013,6000,0.06
age3539,1993,6000,0.06
age3539,1994,6000,0.06
age3539,1995,6000,0.06
age3539,1996,6000,0.06
age3539,1997,6000,0.06
age3539,1998,6000,0.06
age3539,1999,6000,0.06
age3539,2000,6000,0.06
age3539,2001,6000,0.06
age3539,2002,6000,0.06
age3539,2003,6000,0.06
age3539,2004,6000,0.06
age3539,2005,6000,0.06
age3539,2006,6000,0.06
age3539,2007,6000,0.06
age3539,2008,6000,0.06
age3539,2009,6000,0.06
age3539,2010,6000,0.06
age3539,2011,6000,0.06
age3539,2012,6000,0.06
age3539,2013,6000,0.06
age4044,1993,6000,0.06
age4044,1994,6000,0.06
age4044,1995,6000,0.06
age4044,1996,6000,0.06
age4044,1997,6000,0.06
age4044,1998,6000,0.06
age4044,1999,6000,0.06
age4044,2000,6000,0.06
age4044,2001,6000,0.06
age4044,2002,6000,0.06
age4044,2003,6000,0.06
age4044,2004,6000,0.06
age4044,2005,6000,0.06
age4044,2006,6000,0.06
age4044,2007,6000,0.06
age4044,2008,6000,0.06
age4044,2009,6000,0.06
age4044,2010,6000,0.06
age4044,2011,6000,0.06
age4044,2012,6000,0.06
age4044,2013,6000,0.06
age4549,1993,6000,0.06
age4549,1994,6000,0.06
age4549,1995,6000,0.06
age4549,1996,6000,0.06
age4549,1997,6000,0.06
age4549,1998,6000,0.06
age4549,1999,6000,0.06
age4549,2000,6000,0.06
age4549,2001,6000,0.06
age4549,2002,6000,0.06
age4549,2003,6000,0.06
age4549,2004,6000,0.06
age4549,2005,6000,0.06
age4549,2006,6000,0.06
age4549,2007,6000,0.06
age4549,2008,6000,0.06
age4549,2009,6000,0.06
age4549,2010,6000,0.06
age4549,2011,6000,0.06
age4549,2012,6000,0.06
age4549,2013,6000,0.06
age5054,1993,5000,0.05
age5054,1994,5000,0.05
age5054,1995,5000,0.05
age5054,1996,5000,0.05
age5054,1997,5000,0.05
age5054,1998,5000,0.05
age5054,1999,5000,0.05
age5054,2000,5000,0.05
age5054,2001,5000,0.05
age5054,2002,5000,0.05
age5054,2003,5000,0.05
age5054,2004,5000,0.05
age5054,2005,5000,0.05
age5054,2006,5000,0.05
age5054,2007,5000,0.05
age5054,2008,5000,0.05
age5054,2009,5000,0.05
age5054,2010,5000,0.05
age5054,2011,5000,0.05
age5054,2012,5000,0.05
age5054,2013,5000,0.05
age5559,1993,4000,0.04
age5559,1994,4000,0.04
age5559,1995,4000,0.04
age5559,1996,4000,0.04
age5559,1997,4000,0.04
age5559,1998,4000,0.04
age5559,1999,4000,0.04
age5559,2000,4000,0.04
age5559,2001,4000,0.04
age5559,2002,4000,0.04
age5559,2003,4000,0.04
age5559,2004,4000,0.04
age5559,2005,4000,0.04
age5559,2006,4000,0.04
age5559,2007,4000,0.04
age5559,2008,4000,0.04
age5559,2009,4000,0.04
age5559,2010,4000,0.04
age5559,2011,4000,0.04
age5559,2012,4000,0.04
age5559,2013,4000,0.04
age6064,1993,4000,0.04
age6064,1994,4000,0.04
age6064,1995,4000,0.04
age6064,1996,4000,0.04
age6064,1997,4000,0.04
age6064,1998,4000,0.04
age6064,1999,4000,0.04
age6064,2000,4000,0.04
age6064,2001,4000,0.04
age6064,2002,4000,0.04
age6064,2003,4000,0.04
age6064,2004,4000,0.04
age6064,2005,4000,0.04
age6064,2006,4000,0.04
age6064,2007,4000,0.04
age6064,2008,4000,0.04
age6064,2009,4000,0.04
age6064,2010,4000,0.04
age6064,2011,4000,0.04
age6064,2012,4000,0.04
age6064,2013,4000,0.04
age6569,1993,3000,0.03
age6569,1994,3000,0.03
age6569,1995,3000,0.03
age6569,1996,3000,0.03
age6569,1997,3000,0.03
age6569,1998,3000,0.03
age6569,1999,3000,0.03
age6569,2000,3000,0.03
age6569,2001,3000,0.03
age6569,2002,3000,0.03
age6569,2003,3000,0.03
age6569,2004,3000,0.03
age6569,2005,3000,0.03
age6569,2006,3000,0.03
age6569,2007,3000,0.03
age6569,2008,3000,0.03
age6569,2009,3000,0.03
age6569,2010,3000,0.03
age6569,2011,3000,0.03
age6569,2012,3000,0.03
age6569,2013,3000,0.03
age7074,1993,2000,0.02
age7074,1994,2000,0.02
age7074,1995,2000,0.02
age7074,1996,2000,0.02
age7074,1997,2000,0.02
age7074,1998,2000,0.02
age7074,1999,2000,0.02
age7074,2000,2000,0.02
age7074,2001,2000,0.02
age7074,2002,2000,0.02
age7074,2003,2000,0.02
age7074,2004,2000,0.02
age7074,2005,2000,0.02
age7074,2006,2000,0.02
age7074,2007,2000,0.02
age7074,2008,2000,0.02
age7074,2009,2000,0.02
age7074,2010,2000,0.02
age7074,2011,2000,0.02
age7074,2012,2000,0.02
age7074,2013,2000,0.02
age7579,1993,1000,0.01
age7579,1994,1000,0.01
age7579,1995,1000,0.01
age7579,1996,1000,0.01
age7579,1997,1000,0.01
age7579,1998,1000,0.01
age7579,1999,1000,0.01
age7579,2000,1000,0.01
age7579,2001,1000,0.01
age7579,2002,1000,0.01
age7579,2003,1000,0.01
age7579,2004,1000,0.01
age7579,2005,1000,0.01
age7579,2006,1000,0.01
age7579,2007,1000,0.01
age7579,2008,1000,0.01
age7579,2009,1000,0.01
age7579,2010,1000,0.01
age7579,2011,1000,0.01
age7579,2012,1000,0.01
age7579,2013,1000,0.01
age8084,1993,500,0.005
age8084,1994,500,0.005
age8084,1995,500,0.005
age8084,1996,500,0.005
age8084,1997,500,0.005
age8084,1998,500,0.005
age8084,1999,500,0.005
age8084,2000,500,0.005
age8084,2001,500,0.005
age8084,2002,500,0.005
age8084,2003,500,0.005
age8084,2004,500,0.005
age8084,2005,500,0.005
age8084,2006,500,0.005
age8084,2007,500,0.005
age8084,2008,500,0.005
age8084,2009,500,0.005
age8084,2010,500,0.005
age8084,2011,500,0.005
age8084,2012,500,0.005
age8084,2013,500,0.005
age85,1993,500,0.005
age85,1994,500,0.005
age85,1995,500,0.005
age85,1996,500,0.005
age85,1997,500,0.005
age85,1998,500,0.005
age85,1999,500,0.005
age85,2000,500,0.005
age85,2001,500,0.005
age85,2002,500,0.005
age85,2003,500,0.005
age85,2004,500,0.005
age85,2005,500,0.005
age85,2006,500,0.005
age85,2007,500,0.005
age85,2008,500,0.005
age85,2009,500,0.005
age85,2010,500,0.005
age85,2011,500,0.005
age85,2012,500,0.005
age85,2013,500,0.005
